group,case_count,reinterpretation_novelty_distance_mean,best_baseline_novelty_distance_mean,delta_reinterpretation_minus_best_baseline_novelty_distance_mean,reinterpretation_preservation_mean,best_baseline_preservation_mean,delta_reinterpretation_minus_best_baseline_preservation_mean,reinterpretation_utility_proxy_mean,best_baseline_utility_proxy_mean,delta_reinterpretation_minus_best_baseline_utility_proxy_mean,reinterpretation_density_score_mean,best_baseline_density_score_mean,delta_reinterpretation_minus_best_baseline_density_score_mean,reinterpretation_node_coverage_score_mean,best_baseline_node_coverage_score_mean,delta_reinterpretation_minus_best_baseline_node_coverage_score_mean,reinterpretation_weak_connectivity_score_mean,best_baseline_weak_connectivity_score_mean,delta_reinterpretation_minus_best_baseline_weak_connectivity_score_mean,reinterpretation_in_out_coverage_score_mean,best_baseline_in_out_coverage_score_mean,delta_reinterpretation_minus_best_baseline_in_out_coverage_score_mean,reinterpretation_total_score_mean,best_baseline_total_score_mean,delta_reinterpretation_minus_best_baseline_total_score_mean
reinterpretation_tied_win_all,213,0.7390453834115805,0.721830985915493,0.017214397496087552,0.9614799910574559,0.940923317683881,0.020556673373574808,0.9587734741784038,0.9394953051643192,0.019278169014084523,0.9507042253521126,0.9061032863849765,0.04460093896713613,0.9976525821596244,0.9929577464788732,0.0046948356807511304,0.9976525821596244,0.9929577464788732,0.0046948356807511304,0.8480046948356808,0.8392018779342724,0.008802816901408383,0.6817193904165735,0.635584246218049,0.04613514419852449
reinterpretation_strict_win_all,75,0.69,0.6411111111111111,0.04888888888888887,0.941936507936508,0.8835555555555555,0.05838095238095242,0.92975,0.875,0.054749999999999965,0.8766666666666667,0.75,0.1266666666666667,0.9933333333333333,0.98,0.013333333333333308,0.9933333333333333,0.98,0.013333333333333308,0.8416666666666667,0.8166666666666667,0.025000000000000022,0.6062914021164021,0.4752675925925926,0.1310238095238095
reinterpretation_loss_all,147,0.5617913832199547,0.7721088435374149,-0.21031746031746024,0.9477486232588274,0.9069160997732426,0.04083252348558475,0.8854166666666666,0.9011479591836734,-0.01573129251700678,0.7465986394557823,0.7772108843537415,-0.030612244897959218,0.9948979591836735,0.9982993197278912,-0.003401360544217691,0.9948979591836735,0.9982993197278912,-0.003401360544217691,0.8443877551020408,0.8664965986394558,-0.022108843537415046,0.46307573426195875,0.6318826429381276,-0.16880690867616882
n4_limit50_reinterpretation_tied_win_all,4,0.6666666666666667,0.5833333333333334,0.08333333333333337,0.8809523809523809,0.9583333333333334,-0.07738095238095244,0.784375,0.796875,-0.012499999999999956,0.4375,0.5,-0.0625,1.0,1.0,0.0,1.0,1.0,0.0,0.875,0.8125,0.0625,0.4575582837301588,0.44038628472222224,0.017171999007936534
n4_limit50_reinterpretation_loss_all,26,0.5384615384615384,0.7435897435897436,-0.20512820512820518,0.9556776556776557,0.8761904761904762,0.07948717948717954,0.8947115384615384,0.8560096153846154,0.038701923076922995,0.7788461538461539,0.6442307692307693,0.13461538461538458,0.9903846153846154,1.0,-0.009615384615384581,0.9903846153846154,1.0,-0.009615384615384581,0.8461538461538461,0.8701923076923077,-0.024038461538461564,0.45481541895604394,0.5506964953449328,-0.09588107638888888
