candidate_limit,node_count,trials,random_repair_mean,random_search_mean,local_repair_mean,reinterpretation_mean,improvement_vs_random_repair_mean,improvement_vs_random_search_mean,improvement_vs_local_repair_mean,tied_win_rate,strict_win_rate,loss_count
10,3,30,0.22546296296296295,0.47362808641975307,0.45296296296296296,0.7231249999999999,0.49766203703703704,0.24949691358024687,0.270162037037037,1.0,0.9,0
10,4,30,0.21631944444444445,0.37055902777777777,0.3391909722222222,0.39562880291005287,0.17930935846560844,0.025069775132275138,0.05643783068783068,0.4666666666666667,0.36666666666666664,16
20,3,30,0.22546296296296295,0.5477654320987654,0.5971875,0.7231249999999999,0.49766203703703704,0.17535956790123453,0.12593749999999998,1.0,0.6333333333333333,0
20,4,30,0.21631944444444445,0.436625,0.34164930555555556,0.43682175925925926,0.2205023148148148,0.00019675925925926596,0.09517245370370371,0.5,0.4666666666666667,15
50,3,30,0.22546296296296295,0.6322916666666667,0.7231249999999999,0.7231249999999999,0.49766203703703704,0.0908333333333333,0.0,1.0,0.0,0
50,4,30,0.21631944444444445,0.5122511160714286,0.4584210482804233,0.45518113425925927,0.23886168981481481,-0.05706998181216931,-0.0032399140211640254,0.13333333333333333,0.13333333333333333,26
100,3,30,0.22546296296296295,0.6828472222222222,0.7231249999999999,0.7231249999999999,0.49766203703703704,0.04027777777777775,0.0,1.0,0.0,0
100,4,30,0.21631944444444445,0.5518769841269842,0.6150634920634921,0.47364839616402116,0.2573289517195767,-0.07822858796296298,-0.14141509589947088,0.0,0.0,30
200,3,30,0.22546296296296295,0.7164930555555555,0.7231249999999999,0.7231249999999999,0.49766203703703704,0.006631944444444434,0.0,1.0,0.0,0
200,4,30,0.21631944444444445,0.5853008432539683,0.7518783068783068,0.4903146494708995,0.273995205026455,-0.09498619378306879,-0.2615636574074074,0.0,0.0,30
500,3,30,0.22546296296296295,0.7231249999999999,0.7231249999999999,0.7231249999999999,0.49766203703703704,0.0,0.0,1.0,0.0,0
500,4,30,0.21631944444444445,0.6156538525132275,0.7518783068783068,0.5189340277777778,0.30261458333333335,-0.09671982473544974,-0.2329442791005291,0.0,0.0,30
