seed,node_count,candidate_limit,random_repair_score,random_search_score,local_repair_score,reinterpretation_score,best_local_or_random,loss_margin_vs_best_local_or_random
0,4,50,0.07291666666666666,0.4479166666666667,0.3270833333333333,0.3208333333333333,random_search,0.12708333333333338
1,4,50,0.10416666666666666,0.7447916666666666,0.36458333333333337,0.48124999999999996,random_search,0.2635416666666667
2,4,50,0.275,0.43750000000000006,0.41250000000000003,0.40104166666666674,random_search,0.036458333333333315
3,4,50,0.21875,0.7291666666666667,0.5723958333333333,0.6541666666666666,random_search,0.07500000000000018
4,4,50,0.36458333333333337,0.5996527777777777,0.5833333333333334,0.5833333333333334,random_search,0.01631944444444433
5,4,50,0.1375,0.4425000000000001,0.3802083333333333,0.41250000000000003,random_search,0.030000000000000082
6,4,50,0.07604166666666666,0.4916666666666667,0.3270833333333333,0.40104166666666663,random_search,0.09062500000000007
8,4,50,0.3723958333333333,0.44687499999999997,0.5213541666666667,0.4703125,local_repair,0.05104166666666665
10,4,50,0.184375,0.44687499999999997,0.48125000000000007,0.41250000000000003,local_repair,0.06875000000000003
11,4,50,0.22343749999999998,0.4915624999999999,0.3925,0.44041666666666673,random_search,0.05114583333333317
12,4,50,0.16354166666666664,0.45351562500000003,0.4088541666666667,0.4088541666666667,random_search,0.04466145833333335
13,4,50,0.403125,0.48375000000000007,0.6703125,0.5958333333333332,local_repair,0.07447916666666676
14,4,50,0.07291666666666666,0.671875,0.48124999999999996,0.4265625,random_search,0.2453125
15,4,50,0.2994791666666667,0.3511160714285713,0.4607142857142857,0.403125,local_repair,0.057589285714285676
16,4,50,0.2140625,0.45833333333333337,0.490625,0.48124999999999996,local_repair,0.009375000000000022
17,4,50,0.07604166666666666,0.46406250000000004,0.4088541666666667,0.3359375,random_search,0.12812500000000004
18,4,50,0.20937499999999998,0.8020833333333333,0.5723958333333333,0.5614583333333333,random_search,0.24062499999999998
19,4,50,0.16041666666666665,0.5989583333333334,0.48124999999999996,0.40104166666666663,random_search,0.19791666666666674
20,4,50,0.07604166666666666,0.6703125,0.3270833333333333,0.4088541666666667,random_search,0.2614583333333333
21,4,50,0.2140625,0.5531250000000001,0.5833333333333334,0.48124999999999996,local_repair,0.10208333333333341
22,4,50,0.36458333333333337,0.5390625,0.5104166666666667,0.5375,random_search,0.0015625000000000222
24,4,50,0.228125,0.48124999999999996,0.48124999999999996,0.4703125,random_search,0.010937499999999933
25,4,50,0.2791666666666666,0.6046875,0.44687499999999997,0.44687499999999997,random_search,0.15781250000000008
27,4,50,0.16354166666666664,0.48124999999999996,0.4088541666666667,0.44687499999999997,random_search,0.03437499999999999
28,4,50,0.325,0.425595238095238,0.5758928571428572,0.47410714285714284,local_repair,0.10178571428571437
29,4,50,0.07604166666666666,0.3828125,0.3208333333333333,0.36796874999999996,random_search,0.014843750000000044
